ID,Place (x),Knowledge (y),Action (z),K5Name
3207,0.063,0.063,0.000,Science for Humanity
3293,0.250,0.188,0.125,Science for Humanity
3295,0.438,0.750,0.000,Science for Humanity
3338,0.063,0.125,0.000,Science for Humanity
3342,0.063,0.313,0.375,Science for Humanity
3345,0.063,0.250,0.375,Science for Humanity
3347,0.188,0.250,0.063,Science for Humanity
3360,0.188,0.500,0.313,Science for Humanity
3362,0.063,0.500,0.438,Science for Humanity
3363,0.063,0.563,-0.313,Science for Humanity
3391,0.063,0.250,0.250,Science for Humanity
3394,0.063,0.125,0.125,Science for Humanity
3401,0.063,0.188,-0.063,Science for Humanity
3403,0.500,0.438,0.813,Science for Humanity
3409,0.438,0.813,0.250,Science for Humanity
3429,0.438,0.625,0.750,Science for Humanity
3454,0.000,0.250,0.000,Science for Humanity
3458,0.188,0.188,-0.125,Science for Humanity
3462,0.125,0.000,0.063,Science for Humanity
3474,0.125,0.063,-0.063,Science for Humanity
3480,0.125,0.125,-0.375,Science for Humanity
3483,0.125,0.000,-0.063,Science for Humanity
3516,0.188,0.438,0.063,Science for Humanity
3525,0.375,0.188,-0.250,Science for Humanity
3563,0.375,0.625,0.688,Science for Humanity
3575,0.063,0.313,0.000,Science for Humanity
3590,0.000,0.188,0.063,Science for Humanity
3592,0.063,0.625,0.938,Science for Humanity
3603,0.000,0.125,0.250,Science for Humanity
3633,0.313,0.188,-0.250,Science for Humanity
3644,0.250,0.125,-0.063,Science for Humanity
3761,0.063,0.000,0.063,Science for Humanity
3778,0.250,0.250,-0.313,Science for Humanity
3830,0.250,0.250,0.313,Science for Humanity
3841,0.000,0.063,-0.063,Science for Humanity
3845,0.000,0.125,0.063,Science for Humanity
4051,0.250,0.313,0.813,Science for Humanity
4077,0.000,0.500,0.438,Science for Humanity
4121,0.563,0.250,-0.125,Science for Humanity
4189,0.000,0.375,0.313,Science for Humanity
4203,0.313,0.563,0.313,Science for Humanity
4213,0.438,0.375,0.563,Science for Humanity
4235,0.063,0.563,0.750,Science for Humanity
4240,0.125,0.000,0.125,Science for Humanity
4243,0.188,0.563,0.188,Science for Humanity
4282,0.188,-0.063,-0.188,Science for Humanity
4291,0.188,0.188,-0.125,Science for Humanity
4332,0.188,0.000,-0.063,Science for Humanity
4350,0.063,0.250,0.500,Science for Humanity
4352,0.125,0.313,0.375,Science for Humanity
4369,0.000,0.750,-0.250,Science for Humanity
4378,0.125,0.688,0.625,Science for Humanity
4382,0.500,0.250,0.125,Science for Humanity
4384,0.125,0.688,0.688,Science for Humanity
4395,0.375,0.250,-0.188,Science for Humanity
4429,0.313,0.563,1.000,Science for Humanity
4448,0.250,0.313,-0.063,Science for Humanity
4472,0.125,0.125,0.000,Science for Humanity
4476,0.063,0.063,0.000,Science for Humanity
4504,0.000,0.000,0.000,Science for Humanity
4509,0.250,0.063,-0.313,Science for Humanity
4531,0.625,0.000,0.375,Science for Humanity
4626,0.188,0.063,-0.313,Science for Humanity
4656,0.313,0.250,0.375,Science for Humanity
4682,0.188,0.375,-0.250,Science for Humanity
4696,0.250,0.375,-0.125,Science for Humanity
4711,0.125,0.625,0.750,Science for Humanity
4721,0.438,0.500,-0.188,Science for Humanity
4728,0.313,0.438,-0.188,Science for Humanity
4738,0.313,0.000,-0.438,Science for Humanity
4744,0.125,0.125,0.000,Science for Humanity
4750,0.125,0.000,-0.063,Science for Humanity
4754,0.000,0.750,0.000,Science for Humanity
4824,0.125,0.313,0.063,Science for Humanity
4858,0.000,0.000,0.000,Science for Humanity
4862,0.250,-0.125,-0.125,Science for Humanity
4865,0.000,0.250,0.063,Science for Humanity
4868,0.000,0.063,0.000,Science for Humanity
4880,0.063,0.125,0.063,Science for Humanity
4884,0.125,0.250,0.063,Science for Humanity
4901,0.188,0.000,0.125,Science for Humanity
4903,0.313,0.000,0.125,Science for Humanity
4906,0.188,0.000,0.125,Science for Humanity
4918,0.125,0.188,0.000,Science for Humanity
4923,0.125,0.313,-0.125,Science for Humanity
4928,0.063,0.125,-0.125,Science for Humanity
4939,0.188,0.000,0.063,Science for Humanity
4940,0.563,0.250,-0.250,Science for Humanity
4948,0.063,0.188,-0.125,Science for Humanity
4951,0.250,0.188,-0.438,Science for Humanity
4952,0.000,0.188,0.188,Science for Humanity
4954,0.313,0.000,0.000,Science for Humanity
4977,0.000,0.063,0.000,Science for Humanity
4997,0.000,0.250,0.125,Science for Humanity
5003,0.063,0.125,0.000,Science for Humanity
5005,0.250,0.438,-0.125,Science for Humanity
5009,0.000,0.000,0.000,Science for Humanity
5012,0.063,0.000,0.000,Science for Humanity
5020,0.000,0.000,0.000,Science for Humanity
5021,0.000,0.438,-0.063,Science for Humanity
5023,0.063,0.000,0.000,Science for Humanity
5024,0.125,0.000,-0.250,Science for Humanity
5050,0.125,0.063,-0.188,Science for Humanity
